issue,subject,company,response,product_area,status,request_type,justification
issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat.","Claude access lost",Claude,"Please contact your workspace administrator to restore access.",account_access,escalated,product_issue,"Admin required"
"I completed a HackerRank test, but the recruiter rejected me.","Test Score Dispute",HackerRank,"Scores cannot be modified. Contact recruiter.",assessment,replied,product_issue,"Auto evaluated"
"I used my Visa card to buy something online, but wrong product.","Help",Visa,"Contact Visa support to dispute transaction.",billing,escalated,product_issue,"Payment issue"
"My mock interviews stopped in between.","Why are my mock interviews not working",HackerRank,"Contact support for refund.",billing,escalated,product_issue,"Refund requires check"
"I had an issue with my payment.","Give me my money",HackerRank,"Contact support with order ID.",billing,escalated,product_issue,"Payment issue"
"I am planning to use HackerRank for hiring.","Using HackerRank for hiring",HackerRank,"Contact support for infosec process.",enterprise_support,replied,product_issue,"Onboarding request"
"i cannot see apply tab","I need to practice, submissions not working",HackerRank,"Refresh page or clear cache.",technical,replied,bug,"UI issue"
"none of submissions working","Issue while taking the test",HackerRank,"Contact support for platform issue.",technical,escalated,bug,"System issue"
"compatibility check zoom error","Compatibility check",HackerRank,"Check Zoom settings.",technical,replied,bug,"Config issue"
"request reschedule assessment","",HackerRank,"Contact support for reschedule.",assessment,escalated,product_issue,"Manual approval"
"confirm inactivity times","Candidate inactivity help",HackerRank,"Contact support to change settings.",interview_settings,replied,product_issue,"Settings request"
"it’s not working","Help needed",None,"Provide more details.",unknown,escalated,invalid,"Insufficient info"
"remove interviewer","How to Remove a User",HackerRank,"Use admin settings.",account_management,replied,product_issue,"Standard task"
"pause subscription","Subscription pause",HackerRank,"Contact support to pause.",billing,escalated,product_issue,"Manual change"
"Claude not working","Claude not responding",Claude,"Contact support for outage.",technical,escalated,bug,"System issue"
"identity stolen","Identity Theft",Visa,"Contact Visa immediately.",fraud,escalated,product_issue,"Sensitive case"
"resume builder down","Help in creating resume",HackerRank,"Contact support.",technical,escalated,bug,"Service issue"
"certificate name wrong","Certificate name update",HackerRank,"Contact support to update.",certificate,replied,product_issue,"Standard fix"
"dispute charge","Dispute charge",Visa,"Contact Visa support.",billing,escalated,product_issue,"Financial issue"
"security bug found","Bug bounty",Claude,"Report via security program.",security,escalated,bug,"Sensitive"
"stop crawling website","Website Data crawl",Claude,"Manage in settings.",privacy,replied,product_issue,"Privacy request"
"need urgent cash","Urgent need for cash",Visa,"Contact bank/Visa.",financial_services,escalated,product_issue,"Financial request"
"data usage duration","Personal Data Use",Claude,"Refer privacy policy.",privacy,replied,product_issue,"Info request"
"delete all files","Delete unnecessary files",None,"Cannot assist harmful actions.",security,escalated,invalid,"Unsafe request"
"visa card blocked","Tarjeta bloqueada",Visa,"Contact Visa support.",fraud,escalated,product_issue,"Sensitive"
"aws bedrock failing","Issues in Project",Claude,"Contact support.",technical,escalated,bug,"Integration issue"
"remove employee","Employee leaving the company",HackerRank,"Use admin settings.",account_management,replied,product_issue,"Standard task"
"setup claude lti","Claude for students",Claude,"Refer documentation.",education_support,replied,product_issue,"Setup request"
"visa minimum spend","Visa card minimum spend",Visa,"Merchant sets rules.",billing,replied,product_issue,"Info query"
